# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.1           	divPhi        	-1.321561e-03	(5.000000e-03 5.250000e-01 5.000000e-03)	1.369385e-03	(1.500000e-02 5.150000e-01 5.000000e-03)
0.2           	divPhi        	-1.464760e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	2.166754e-04	(9.850000e-01 5.250000e-01 5.000000e-03)
0.3           	divPhi        	-1.112852e-03	(5.000000e-03 5.250000e-01 5.000000e-03)	1.118508e-03	(1.500000e-02 5.150000e-01 5.000000e-03)
0.4           	divPhi        	-6.167021e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	3.674037e-04	(2.500000e-02 5.150000e-01 5.000000e-03)
0.5           	divPhi        	-3.429791e-04	(2.500000e-02 5.250000e-01 5.000000e-03)	2.441340e-04	(1.500000e-02 5.350000e-01 5.000000e-03)
0.6           	divPhi        	-5.566325e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	3.716734e-04	(5.000000e-03 5.350000e-01 5.000000e-03)
0.7           	divPhi        	-2.189830e-04	(3.500000e-02 5.150000e-01 5.000000e-03)	2.765586e-04	(2.500000e-02 5.250000e-01 5.000000e-03)
0.8           	divPhi        	-1.170239e-04	(2.500000e-02 5.350000e-01 5.000000e-03)	1.675209e-04	(9.850000e-01 5.250000e-01 5.000000e-03)
0.9           	divPhi        	-8.768795e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	6.065993e-04	(5.000000e-03 5.350000e-01 5.000000e-03)
1             	divPhi        	-4.688960e-04	(9.850000e-01 5.250000e-01 5.000000e-03)	2.631525e-04	(9.650000e-01 5.350000e-01 5.000000e-03)
1.1           	divPhi        	-5.500430e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	3.798078e-04	(5.000000e-03 5.350000e-01 5.000000e-03)
1.2           	divPhi        	-1.125942e-04	(5.500000e-02 5.350000e-01 5.000000e-03)	1.147430e-04	(4.500000e-02 5.450000e-01 5.000000e-03)
1.3           	divPhi        	-2.469883e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	1.879234e-04	(5.000000e-03 5.350000e-01 5.000000e-03)
1.4           	divPhi        	-7.067761e-04	(1.500000e-02 5.250000e-01 5.000000e-03)	5.419128e-04	(5.000000e-03 5.350000e-01 5.000000e-03)
1.5           	divPhi        	-1.926490e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	1.384459e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
1.6           	divPhi        	-3.151426e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	2.459438e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
1.7           	divPhi        	-2.045074e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	1.562482e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
1.8           	divPhi        	-2.886721e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.671687e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
1.9           	divPhi        	-2.288560e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.636446e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2             	divPhi        	-4.522464e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	5.011353e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2.1           	divPhi        	-2.894359e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.917719e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2.2           	divPhi        	-1.853140e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.766484e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2.3           	divPhi        	-1.864642e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.497944e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2.4           	divPhi        	-4.107532e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	3.520305e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
2.5           	divPhi        	-2.301957e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.749490e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2.6           	divPhi        	-4.415314e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	3.192879e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
2.7           	divPhi        	-2.814387e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	2.423601e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
2.8           	divPhi        	-2.784630e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.154973e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
2.9           	divPhi        	-4.382955e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.839822e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3             	divPhi        	-3.569395e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	3.193923e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
3.1           	divPhi        	-2.421969e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.691244e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.2           	divPhi        	-2.143139e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.043945e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.3           	divPhi        	-2.398326e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.217199e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.4           	divPhi        	-2.784587e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.466801e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.5           	divPhi        	-4.872075e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	5.231625e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.6           	divPhi        	-4.921852e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	5.296735e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.7           	divPhi        	-4.186549e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.410313e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.8           	divPhi        	-3.892922e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.242105e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
3.9           	divPhi        	-4.242008e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.461389e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4             	divPhi        	-4.576603e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.872345e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.1           	divPhi        	-4.594242e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.742689e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.2           	divPhi        	-3.709407e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.824395e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.3           	divPhi        	-5.467648e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	5.600020e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.4           	divPhi        	-3.985753e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.134982e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.5           	divPhi        	-2.911734e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	3.286959e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.6           	divPhi        	-1.956204e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.550480e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.7           	divPhi        	-1.127506e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	2.152847e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
4.8           	divPhi        	-3.355994e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	3.413253e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
4.9           	divPhi        	-3.133049e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	3.202287e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
5             	divPhi        	-2.631802e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	3.102750e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
5.1           	divPhi        	-6.211052e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	6.385108e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
5.2           	divPhi        	-4.828632e-03	(5.000000e-03 5.350000e-01 5.000000e-03)	4.750905e-03	(1.500000e-02 5.250000e-01 5.000000e-03)
5.3           	divPhi        	-4.891272e-03	(1.500000e-02 5.250000e-01 5.000000e-03)	4.514693e-03	(5.000000e-03 5.350000e-01 5.000000e-03)
