# Solver information
# Time        	alpha.grout_solver	alpha.grout_initial	alpha.grout_final	alpha.grout_iters	alpha.grout_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.1           	smoothSolver	0.000000e+00	0.000000e+00	0	true	DICPCG	1.000000e+00	4.798910e-02	26	true
0.2           	smoothSolver	1.397440e-08	3.382000e-17	1	true	DICPCG	2.874200e-07	7.571750e-08	32	true
0.3           	smoothSolver	2.176440e-08	3.500870e-17	1	true	DICPCG	2.463910e-07	9.947050e-08	25	true
0.4           	smoothSolver	8.705560e-09	8.705560e-09	0	true	DICPCG	1.831470e-07	8.280290e-08	31	true
0.5           	smoothSolver	1.255900e-08	3.525070e-17	1	true	DICPCG	1.830470e-07	9.861750e-08	31	true
0.6           	smoothSolver	2.484390e-09	2.484390e-09	0	true	DICPCG	1.151840e-07	8.181040e-08	20	true
0.7           	smoothSolver	4.489420e-09	4.489420e-09	0	true	DICPCG	1.271260e-07	8.333900e-08	23	true
0.8           	smoothSolver	7.619340e-09	7.619340e-09	0	true	DICPCG	1.430850e-07	8.310100e-08	41	true
0.9           	smoothSolver	1.325220e-08	3.378990e-17	1	true	DICPCG	1.660630e-07	9.989160e-08	42	true
1             	smoothSolver	3.127630e-09	3.127630e-09	0	true	DICPCG	1.640410e-07	9.609110e-08	26	true
1.1           	smoothSolver	5.095790e-09	5.095790e-09	0	true	DICPCG	1.499560e-07	8.452430e-08	41	true
1.2           	smoothSolver	8.787120e-09	8.787120e-09	0	true	DICPCG	1.475130e-07	6.846700e-08	47	true
1.3           	smoothSolver	1.609480e-08	3.439410e-17	1	true	DICPCG	1.369460e-07	7.954800e-08	47	true
1.4           	smoothSolver	1.467100e-09	1.467100e-09	0	true	DICPCG	1.145230e-07	9.475800e-08	8	true
1.5           	smoothSolver	2.430510e-09	2.430510e-09	0	true	DICPCG	1.464910e-07	8.324890e-08	4	true
1.6           	smoothSolver	4.768630e-09	4.768630e-09	0	true	DICPCG	1.216050e-07	9.612840e-08	4	true
1.7           	smoothSolver	9.086800e-09	9.086800e-09	0	true	DICPCG	1.320560e-07	5.543760e-08	6	true
1.8           	smoothSolver	1.655510e-08	3.410990e-17	1	true	DICPCG	1.082100e-07	9.714400e-08	7	true
1.9           	smoothSolver	3.213710e-09	3.213710e-09	0	true	DICPCG	1.694420e-07	8.930360e-08	4	true
2             	smoothSolver	5.608100e-09	5.608100e-09	0	true	DICPCG	1.387480e-07	9.111140e-08	4	true
2.1           	smoothSolver	9.919860e-09	9.919860e-09	0	true	DICPCG	1.426590e-07	6.725820e-08	4	true
2.2           	smoothSolver	1.760160e-08	3.427020e-17	1	true	DICPCG	9.665030e-08	9.665030e-08	0	true
2.3           	smoothSolver	3.754810e-08	3.417900e-17	1	true	DICPCG	1.415020e-07	5.248430e-08	6	true
2.4           	smoothSolver	6.657630e-08	3.407650e-17	1	true	DICPCG	1.285330e-07	8.898390e-08	6	true
2.5           	smoothSolver	4.731860e-09	4.731860e-09	0	true	DICPCG	1.344620e-07	5.734510e-08	5	true
2.6           	smoothSolver	6.842080e-09	6.842080e-09	0	true	DICPCG	1.171810e-07	8.918290e-08	5	true
2.7           	smoothSolver	1.172050e-08	3.377120e-17	1	true	DICPCG	1.679810e-07	7.467420e-08	6	true
2.8           	smoothSolver	1.989740e-08	3.428310e-17	1	true	DICPCG	1.379300e-07	7.959460e-08	7	true
2.9           	smoothSolver	3.498130e-08	3.367930e-17	1	true	DICPCG	1.542870e-07	8.651180e-08	8	true
3             	smoothSolver	1.529800e-09	1.529800e-09	0	true	DICPCG	1.331590e-07	5.632420e-08	7	true
3.1           	smoothSolver	4.072860e-09	4.072860e-09	0	true	DICPCG	1.434030e-07	6.394420e-08	5	true
3.2           	smoothSolver	6.756870e-09	6.756870e-09	0	true	DICPCG	1.247080e-07	6.329690e-08	6	true
3.3           	smoothSolver	1.174410e-08	3.439310e-17	1	true	DICPCG	1.225680e-07	5.019040e-08	8	true
3.4           	smoothSolver	2.101590e-08	3.482280e-17	1	true	DICPCG	9.340600e-08	9.340600e-08	0	true
3.5           	smoothSolver	4.714780e-08	3.436580e-17	1	true	DICPCG	1.404620e-07	9.539940e-08	9	true
3.6           	smoothSolver	2.762130e-09	2.762130e-09	0	true	DICPCG	1.315600e-07	9.730330e-08	4	true
3.7           	smoothSolver	4.971880e-09	4.971880e-09	0	true	DICPCG	1.214320e-07	7.365850e-08	4	true
3.8           	smoothSolver	8.430920e-09	8.430920e-09	0	true	DICPCG	9.798110e-08	9.798110e-08	0	true
3.9           	smoothSolver	1.843570e-08	3.458870e-17	1	true	DICPCG	1.268710e-07	7.193980e-08	4	true
4             	smoothSolver	3.332700e-08	3.390380e-17	1	true	DICPCG	1.221600e-07	7.570350e-08	4	true
4.1           	smoothSolver	5.989760e-08	3.398200e-17	1	true	DICPCG	1.153410e-07	7.317480e-08	4	true
4.2           	smoothSolver	4.443500e-09	4.443500e-09	0	true	DICPCG	7.818230e-08	7.818230e-08	0	true
4.3           	smoothSolver	4.754450e-09	4.754450e-09	0	true	DICPCG	6.771200e-08	6.771200e-08	0	true
4.4           	smoothSolver	2.395300e-08	3.436080e-17	1	true	DICPCG	1.284080e-07	5.385850e-08	4	true
4.5           	smoothSolver	4.072750e-08	3.368760e-17	1	true	DICPCG	6.624760e-08	6.624760e-08	0	true
4.6           	smoothSolver	8.322850e-08	3.433020e-17	1	true	DICPCG	7.737540e-08	7.737540e-08	0	true
4.7           	smoothSolver	1.169680e-07	3.393750e-17	1	true	DICPCG	8.926220e-08	8.926220e-08	0	true
4.8           	smoothSolver	1.436350e-07	3.359240e-17	1	true	DICPCG	1.018820e-07	4.734480e-08	3	true
4.9           	smoothSolver	5.771880e-08	3.368800e-17	1	true	DICPCG	1.285650e-07	5.104540e-08	2	true
5             	smoothSolver	1.162850e-07	3.384640e-17	1	true	DICPCG	1.163020e-07	4.129900e-08	4	true
5.1           	smoothSolver	1.791150e-07	3.410340e-17	1	true	DICPCG	1.268320e-07	5.299380e-08	4	true
5.2           	smoothSolver	1.630060e-08	3.428320e-17	1	true	DICPCG	1.534470e-07	5.845210e-08	5	true
5.3           	smoothSolver	2.537780e-08	3.420640e-17	1	true	DICPCG	1.495990e-07	5.463500e-08	5	true
5.4           	smoothSolver	4.086460e-08	3.443070e-17	1	true	DICPCG	1.377370e-07	8.665860e-08	6	true
5.5           	smoothSolver	4.022080e-09	4.022080e-09	0	true	DICPCG	2.094070e-07	4.488320e-08	7	true
5.6           	smoothSolver	5.004470e-09	5.004470e-09	0	true	DICPCG	1.459910e-07	7.076450e-08	4	true
5.7           	smoothSolver	8.088030e-09	8.088030e-09	0	true	DICPCG	1.075460e-07	9.123930e-08	4	true
5.8           	smoothSolver	1.360500e-08	3.397680e-17	1	true	DICPCG	1.358840e-07	4.540840e-08	6	true
5.9           	smoothSolver	2.331360e-08	3.405780e-17	1	true	DICPCG	3.956250e-08	3.956250e-08	0	true
